date,timestamp,adjclose,low,open,volume,close,high
11/9/2017,11/9/2017 0:00,320.8840027,307.0559998,308.644989,893249984,320.8840027,329.4519958
11/10/2017,11/10/2017 0:00,299.2529907,294.5419922,320.67099,885985984,299.2529907,324.7179871
11/11/2017,11/11/2017 0:00,314.6809998,298.1919861,298.5859985,842300992,314.6809998,319.4530029
11/12/2017,11/12/2017 0:00,307.9079895,298.5130005,314.6900024,1613479936,307.9079895,319.1530151
11/13/2017,11/13/2017 0:00,316.7160034,307.0249939,307.0249939,1041889984,316.7160034,328.4150085
11/14/2017,11/14/2017 0:00,337.631012,316.7630005,316.7630005,1069680000,337.631012,340.177002
11/15/2017,11/15/2017 0:00,333.3569946,329.8129883,337.9639893,722665984,333.3569946,340.9119873
11/16/2017,11/16/2017 0:00,330.9240112,323.6059875,333.4429932,797254016,330.9240112,336.1589966
11/17/2017,11/17/2017 0:00,332.3940125,327.5230103,330.1669922,621732992,332.3940125,334.9639893
11/18/2017,11/18/2017 0:00,347.6119995,327.6870117,331.980011,649638976,347.6119995,349.6159973
11/19/2017,11/19/2017 0:00,354.3859863,344.7399902,347.401001,1181529984,354.3859863,371.2909851
11/20/2017,11/20/2017 0:00,366.730011,353.2890015,354.0939941,807027008,366.730011,372.1369934
11/21/2017,11/21/2017 0:00,360.401001,350.6929932,367.4429932,949912000,360.401001,372.4700012
11/22/2017,11/22/2017 0:00,380.6520081,360.1470032,360.3120117,800819008,380.6520081,381.4200134
11/23/2017,11/23/2017 0:00,410.1659851,376.0880127,381.4389954,1845680000,410.1659851,425.5480042
11/24/2017,11/24/2017 0:00,474.9110107,402.7579956,412.5010071,2292829952,474.9110107,480.9729919
11/25/2017,11/25/2017 0:00,466.276001,461.053009,475.6759949,1422080000,466.276001,485.1919861
11/26/2017,11/26/2017 0:00,471.3299866,451.6059875,465.973999,1197779968,471.3299866,472.7229919
11/27/2017,11/27/2017 0:00,480.355011,468.4849854,471.5310059,1396480000,480.355011,493.4049988
11/28/2017,11/28/2017 0:00,472.9020081,466.3469849,480.5180054,1346499968,472.9020081,482.480011
11/29/2017,11/29/2017 0:00,427.5230103,425.0710144,473.2810059,2675940096,427.5230103,522.3070068
11/30/2017,11/30/2017 0:00,447.1140137,401.2430115,431.2149963,1903040000,447.1140137,465.4970093
12/1/2017,12/1/2017 0:00,466.5400085,428.3120117,445.2090149,1247879936,466.5400085,472.6090088
12/2/2017,12/2/2017 0:00,463.4490051,456.6530151,466.8510132,943649984,463.4490051,476.2390137
12/3/2017,12/3/2017 0:00,465.8529968,451.8519897,463.7049866,990556992,465.8529968,482.8139954
12/4/2017,12/4/2017 0:00,470.20401,453.3120117,466.0539856,1005550016,470.20401,474.7770081
12/5/2017,12/5/2017 0:00,463.2810059,457.6600037,470.2940063,1216720000,463.2810059,473.5580139
12/6/2017,12/6/2017 0:00,428.5880127,420.2099915,462.6040039,1998259968,428.5880127,462.7080078
12/7/2017,12/7/2017 0:00,434.4079895,414.4110107,426.368988,2129570048,434.4079895,441.3970032
12/8/2017,12/8/2017 0:00,456.0310059,422.3670044,434.9890137,2336379904,456.0310059,466.0620117
12/9/2017,12/9/2017 0:00,473.5020142,456.2529907,457.3439941,2003849984,473.5020142,504.1470032
12/10/2017,12/10/2017 0:00,441.7210083,429.5140076,472.7890015,1404179968,441.7210083,472.7890015
12/11/2017,12/11/2017 0:00,515.1359863,439.1040039,440.3580017,1771440000,515.1359863,516.9689941
12/12/2017,12/12/2017 0:00,651.4310303,504.493988,522.2860107,5179829760,651.4310303,657.3179932
12/13/2017,12/13/2017 0:00,702.7670288,597.7979736,644.9060059,4524539904,702.7670288,747.992981
12/14/2017,12/14/2017 0:00,695.815979,664.9890137,700.5939941,3821580032,695.815979,753.1209717
12/15/2017,12/15/2017 0:00,684.447998,621.0609741,696.3759766,2758710016,684.447998,697.132019
12/16/2017,12/16/2017 0:00,696.2089844,680.7860107,686.1920166,2165690112,696.2089844,718.3850098
12/17/2017,12/17/2017 0:00,719.9749756,696.2369995,696.2369995,2147389952,719.9749756,735.8250122
12/18/2017,12/18/2017 0:00,794.6450195,689.2310181,721.7319946,3249230080,794.6450195,803.9279785
12/19/2017,12/19/2017 0:00,826.822998,785.34198,793.901001,4096549888,826.822998,881.9439697
12/20/2017,12/20/2017 0:00,819.0859985,756.0040283,827.5159912,3969939968,819.0859985,845.0620117
12/21/2017,12/21/2017 0:00,821.0629883,792.6890259,820.2360229,3569060096,821.0629883,880.5430298
12/22/2017,12/22/2017 0:00,674.8599854,543.7620239,822.6430054,4977710080,674.8599854,827.6829834
12/23/2017,12/23/2017 0:00,719.3870239,679.7310181,681.315979,2480339968,719.3870239,763.8950195
12/24/2017,12/24/2017 0:00,694.1480103,614.9219971,721.7689819,2300549888,694.1480103,721.7689819
12/25/2017,12/25/2017 0:00,765.8339844,698.8699951,698.8699951,2491760128,765.8339844,782.5209961
12/26/2017,12/26/2017 0:00,773.8359985,760.9349976,763.3699951,2201159936,773.8359985,786.789978
12/27/2017,12/27/2017 0:00,762.84198,738.4130249,774.9699707,2100029952,762.84198,789.2529907
12/28/2017,12/28/2017 0:00,737.0230103,701.1870117,762.2080078,2389149952,737.0230103,763.3189697
12/29/2017,12/29/2017 0:00,753.59198,729.6079712,740.3889771,2648969984,753.59198,770.1170044
12/30/2017,12/30/2017 0:00,717.257019,685.2310181,753.8150024,3187780096,717.257019,753.8150024
12/31/2017,12/31/2017 0:00,756.7329712,710.1190186,712.2119751,2554269952,756.7329712,760.3480225
1/1/2018,1/1/2018 0:00,772.6409912,742.0040283,755.757019,2595760128,772.6409912,782.5300293
1/2/2018,1/2/2018 0:00,884.4439697,772.3460083,772.3460083,5783349760,884.4439697,914.8300171
1/3/2018,1/3/2018 0:00,962.7199707,868.4509888,886,5093159936,962.7199707,974.4710083
1/4/2018,1/4/2018 0:00,980.9219971,946.0859985,961.7130127,6502859776,980.9219971,1045.079956
1/5/2018,1/5/2018 0:00,997.7199707,956.3250122,975.75,6683149824,997.7199707,1075.390015
1/6/2018,1/6/2018 0:00,1041.680054,994.6220093,995.1539917,4662219776,1041.680054,1060.709961
1/7/2018,1/7/2018 0:00,1153.170044,1043.01001,1043.01001,5569880064,1153.170044,1153.170044
1/8/2018,1/8/2018 0:00,1148.530029,1016.049988,1158.26001,8450970112,1148.530029,1266.930054
1/9/2018,1/9/2018 0:00,1299.73999,1145.48999,1146,7965459968,1299.73999,1320.97998
1/10/2018,1/10/2018 0:00,1255.819946,1226.599976,1300.339966,9214950400,1255.819946,1417.380005
1/11/2018,1/11/2018 0:00,1154.930054,1135.170044,1268.089966,7235899904,1154.930054,1337.300049
1/12/2018,1/12/2018 0:00,1273.199951,1120.089966,1158.290039,5222300160,1273.199951,1296.040039
